TripNumber,TripDate,FromPos,ToPos,Distance,DriverName,DriverType,Revenue,DieselCost,OtherExpensesCost,ExternalTransportCost,TotalCost,Profit,TripYear,TripMonth,TripDay,TripQuarter,TripWeekday
TR0353,2023-07-10,TABUK,JEDDAH,1289,Mohammed Saeed,Internal,5279.12,736.09,293.06,0.0,1029.15,4249.97,2023,7,10,3,Monday
TR0354,2023-02-01,ABHA,YANBU,367,Abdullah Hassan,External,2457.43,323.15,167.23,258.3,748.68,1708.75,2023,2,1,1,Wednesday
TR0355,2023-06-17,TAIF,BURAIDAH,656,Abdullah Hassan,Internal,7576.66,860.79,501.64,0.0,1362.43,6214.23,2023,6,17,2,Saturday
TR0356,2023-02-25,DAMMAM,JEDDAH,436,Nasser Fahad,External,2855.25,320.0,118.49,329.93,768.42,2086.83,2023,2,25,1,Saturday
TR0357,2023-08-20,MADINAH,BURAIDAH,642,Hamad Saleh,Internal,1178.16,212.96,45.07,0.0,258.03,920.13,2023,8,20,3,Sunday
TR0358,2023-12-27,YANBU,HAIL,182,Abdullah Hassan,External,1612.43,275.91,125.94,95.84,497.69,1114.74,2023,12,27,4,Wednesday
TR0359,2023-01-26,JUBAIL,MADINAH,632,Hamad Saleh,Internal,733.12,102.96,34.55,0.0,137.51,595.61,2023,1,26,1,Thursday
TR0360,2023-10-09,MAKKAH,JEDDAH,1046,Mohammed Saeed,Internal,1410.9,149.79,94.33,0.0,244.12,1166.78,2023,10,9,4,Monday
TR0361,2023-04-24,DAMMAM,MADINAH,920,Omar Khalid,Internal,4867.43,612.72,334.71,0.0,947.43,3920.0,2023,4,24,2,Monday
TR0362,2023-01-12,JEDDAH,MADINAH,1422,Nasser Fahad,Internal,1189.84,219.8,81.54,0.0,301.34,888.5,2023,1,12,1,Thursday
TR0363,2023-03-04,RIYADH,BURAIDAH,203,Khalid Omar,External,6662.64,929.44,145.04,682.8,1757.28,4905.36,2023,3,4,1,Saturday
TR0364,2023-03-30,TAIF,MAKKAH,483,Faisal Nasser,External,3845.09,441.66,218.58,355.85,1016.09,2829.0,2023,3,30,1,Thursday
TR0365,2023-11-28,MADINAH,BURAIDAH,943,Saleh Ayed,External,957.34,122.52,27.03,28.64,178.19,779.15,2023,11,28,4,Tuesday
TR0366,2023-09-27,MAKKAH,YANBU,1213,Rashed Hamad,Internal,7920.53,1411.37,329.07,0.0,1740.44,6180.09,2023,9,27,3,Wednesday
TR0367,2023-10-06,TABUK,TAIF,1258,Turki Salem,External,3412.86,402.65,133.55,112.12,648.32,2764.54,2023,10,6,4,Friday
TR0368,2023-05-24,RIYADH,BURAIDAH,1184,Omar Khalid,Internal,7804.85,858.64,463.7,0.0,1322.34,6482.51,2023,5,24,2,Wednesday
TR0369,2023-05-17,BURAIDAH,RIYADH,549,Fahad Majed,External,3161.03,581.38,223.53,83.5,888.41,2272.62,2023,5,17,2,Wednesday
TR0370,2023-10-31,TAIF,ABHA,1311,Ahmed Ali,External,7606.69,1189.39,409.14,214.78,1813.31,5793.38,2023,10,31,4,Tuesday
TR0371,2023-09-10,BURAIDAH,MADINAH,459,Nasser Fahad,Internal,1176.93,145.07,38.99,0.0,184.06,992.87,2023,9,10,3,Sunday
TR0372,2023-09-27,TABUK,RIYADH,779,Saleh Ayed,Internal,6548.34,877.97,200.69,0.0,1078.66,5469.68,2023,9,27,3,Wednesday
TR0373,2023-06-15,RIYADH,JEDDAH,402,Fahad Majed,Internal,6307.75,1164.71,451.89,0.0,1616.6,4691.15,2023,6,15,2,Thursday
TR0374,2023-02-07,TAIF,YANBU,910,Fahad Majed,Internal,3024.21,399.98,237.56,0.0,637.54,2386.67,2023,2,7,1,Tuesday
TR0375,2023-08-12,JUBAIL,TABUK,1429,Omar Khalid,Internal,5803.87,906.55,425.86,0.0,1332.41,4471.46,2023,8,12,3,Saturday
TR0376,2023-11-11,TAIF,MAKKAH,1463,Fahad Majed,Internal,3337.88,578.79,125.74,0.0,704.53,2633.35,2023,11,11,4,Saturday
TR0377,2023-04-01,YANBU,RIYADH,1273,Saeed Turki,Internal,1865.61,245.93,127.85,0.0,373.78,1491.83,2023,4,1,2,Saturday
TR0378,2023-11-10,MAKKAH,YANBU,1258,Mohammed Saeed,External,1554.83,271.37,53.3,229.12,553.79,1001.04,2023,11,10,4,Friday
TR0379,2023-03-27,JUBAIL,JEDDAH,1472,Salem Rashed,External,3849.72,487.07,134.63,39.15,660.85,3188.87,2023,3,27,1,Monday
TR0380,2023-05-12,JEDDAH,RIYADH,198,Saeed Turki,External,5994.38,1180.35,438.03,443.36,2061.74,3932.64,2023,5,12,2,Friday
TR0381,2023-07-13,TAIF,HAIL,868,Mohammed Saeed,External,6415.47,1012.4,420.18,217.08,1649.66,4765.81,2023,7,13,3,Thursday
TR0382,2023-08-20,JEDDAH,RIYADH,703,Ahmed Ali,External,2458.46,271.59,99.59,327.44,698.62,1759.84,2023,8,20,3,Sunday
TR0383,2023-03-24,YANBU,JEDDAH,1220,Saleh Ayed,Internal,3034.63,602.46,223.33,0.0,825.79,2208.84,2023,3,24,1,Friday
TR0384,2023-12-27,RIYADH,TABUK,1438,Khalid Omar,External,1678.28,184.82,54.26,47.83,286.91,1391.37,2023,12,27,4,Wednesday
TR0385,2023-12-23,BURAIDAH,HAIL,643,Salem Rashed,External,2730.5,299.24,118.98,225.13,643.35,2087.15,2023,12,23,4,Saturday
TR0386,2023-09-09,DAMMAM,RIYADH,838,Ahmed Ali,External,1157.21,211.06,66.55,83.38,360.99,796.22,2023,9,9,3,Saturday
TR0387,2023-02-19,RIYADH,MADINAH,449,Salem Rashed,External,7827.93,1153.5,210.81,921.59,2285.9,5542.03,2023,2,19,1,Sunday
TR0388,2023-08-30,TABUK,YANBU,642,Mohammed Saeed,External,1886.61,355.72,79.55,126.15,561.42,1325.19,2023,8,30,3,Wednesday
TR0389,2023-05-15,TABUK,BURAIDAH,639,Abdullah Hassan,External,4731.85,544.7,292.37,68.64,905.71,3826.14,2023,5,15,2,Monday
TR0390,2023-12-09,TAIF,HAIL,947,Rashed Hamad,Internal,4652.01,856.34,321.47,0.0,1177.81,3474.2,2023,12,9,4,Saturday
TR0391,2023-08-03,BURAIDAH,YANBU,1072,Fahad Majed,Internal,4071.97,439.35,302.0,0.0,741.35,3330.62,2023,8,3,3,Thursday
TR0392,2023-01-18,BURAIDAH,JUBAIL,1158,Rashed Hamad,Internal,1402.11,246.38,42.59,0.0,288.97,1113.14,2023,1,18,1,Wednesday
TR0393,2023-03-27,MAKKAH,MADINAH,358,Ahmed Ali,External,1087.76,183.08,34.93,134.21,352.22,735.54,2023,3,27,1,Monday
TR0394,2023-03-17,HAIL,MADINAH,754,Saleh Ayed,Internal,1152.71,179.4,61.24,0.0,240.64,912.07,2023,3,17,1,Friday
TR0395,2023-05-22,BURAIDAH,TABUK,125,Rashed Hamad,External,1343.89,154.5,72.56,117.46,344.52,999.37,2023,5,22,2,Monday
TR0396,2023-02-21,JEDDAH,JUBAIL,306,Rashed Hamad,External,7006.06,1317.23,509.16,277.58,2103.97,4902.09,2023,2,21,1,Tuesday
TR0397,2023-12-02,TABUK,JUBAIL,1347,Nasser Fahad,Internal,1791.5,251.34,102.29,0.0,353.63,1437.87,2023,12,2,4,Saturday
TR0398,2023-12-15,YANBU,ABHA,179,Saeed Turki,External,5678.85,595.88,275.5,228.79,1100.17,4578.68,2023,12,15,4,Friday
TR0399,2023-07-10,RIYADH,ABHA,720,Faisal Nasser,External,6821.35,1267.57,416.72,995.06,2679.35,4142.0,2023,7,10,3,Monday
TR0400,2023-04-27,DAMMAM,TAIF,1007,Rashed Hamad,External,2520.65,357.12,148.05,71.06,576.23,1944.42,2023,4,27,2,Thursday
TR0401,2023-04-19,ABHA,BURAIDAH,1157,Hamad Saleh,External,6657.63,1008.81,196.66,310.7,1516.17,5141.46,2023,4,19,2,Wednesday
TR0402,2023-09-17,ABHA,DAMMAM,1173,Saleh Ayed,Internal,1803.03,338.1,57.78,0.0,395.88,1407.15,2023,9,17,3,Sunday
TR0403,2023-01-30,MAKKAH,RIYADH,1034,Ahmed Ali,External,5784.75,736.96,401.52,438.3,1576.78,4207.97,2023,1,30,1,Monday
TR0404,2023-11-22,JEDDAH,YANBU,162,Abdullah Hassan,External,4165.9,602.43,323.4,296.56,1222.39,2943.51,2023,11,22,4,Wednesday
TR0405,2023-10-10,TAIF,ABHA,434,Hamad Saleh,External,6117.21,1033.11,226.97,354.71,1614.79,4502.42,2023,10,10,4,Tuesday
TR0406,2023-03-25,HAIL,MAKKAH,553,Salem Rashed,Internal,5582.71,708.49,248.82,0.0,957.31,4625.4,2023,3,25,1,Saturday
TR0407,2023-01-11,JUBAIL,RIYADH,1070,Saleh Ayed,Internal,5355.29,857.46,109.83,0.0,967.29,4388.0,2023,1,11,1,Wednesday
TR0408,2023-05-10,HAIL,MADINAH,1416,Faisal Nasser,External,7216.12,1336.13,343.05,236.19,1915.37,5300.75,2023,5,10,2,Wednesday
TR0409,2023-06-04,JUBAIL,BURAIDAH,1377,Saeed Turki,Internal,555.11,110.99,43.29,0.0,154.28,400.83,2023,6,4,2,Sunday
TR0410,2023-07-11,BURAIDAH,YANBU,1316,Fahad Majed,External,2738.57,303.46,65.26,406.0,774.72,1963.85,2023,7,11,3,Tuesday
TR0411,2023-11-24,TAIF,MADINAH,634,Salem Rashed,External,1912.7,290.21,65.83,16.29,372.33,1540.37,2023,11,24,4,Friday
TR0412,2023-11-04,ABHA,YANBU,754,Salem Rashed,Internal,5909.62,978.28,471.87,0.0,1450.15,4459.47,2023,11,4,4,Saturday
TR0413,2023-05-13,ABHA,TABUK,895,Majed Saud,Internal,4872.68,971.98,336.02,0.0,1308.0,3564.68,2023,5,13,2,Saturday
TR0414,2023-06-25,YANBU,MAKKAH,1194,Salem Rashed,External,7298.95,1220.29,368.15,925.6,2514.04,4784.91,2023,6,25,2,Sunday
TR0415,2023-12-03,BURAIDAH,DAMMAM,701,Mohammed Saeed,External,1459.58,183.71,99.98,167.03,450.72,1008.86,2023,12,3,4,Sunday
TR0416,2023-04-04,JUBAIL,TAIF,1440,Mohammed Saeed,Internal,3164.63,551.98,121.6,0.0,673.58,2491.05,2023,4,4,2,Tuesday
TR0417,2023-06-19,TAIF,MADINAH,1299,Faisal Nasser,External,6884.1,1012.33,495.54,602.61,2110.48,4773.62,2023,6,19,2,Monday
TR0418,2023-11-14,JEDDAH,BURAIDAH,498,Turki Salem,Internal,7006.23,968.03,265.55,0.0,1233.58,5772.65,2023,11,14,4,Tuesday
TR0419,2023-01-28,DAMMAM,MAKKAH,510,Omar Khalid,External,7903.94,1496.09,625.98,169.81,2291.88,5612.06,2023,1,28,1,Saturday
TR0420,2023-04-03,JEDDAH,BURAIDAH,781,Salem Rashed,Internal,2850.61,301.6,134.33,0.0,435.93,2414.68,2023,4,3,2,Monday
TR0421,2023-04-18,DAMMAM,JUBAIL,424,Nasser Fahad,Internal,1470.54,210.83,67.3,0.0,278.13,1192.41,2023,4,18,2,Tuesday
TR0422,2023-08-08,TABUK,ABHA,109,Ahmed Ali,Internal,5979.94,1166.13,439.65,0.0,1605.78,4374.16,2023,8,8,3,Tuesday
TR0423,2023-09-29,MAKKAH,RIYADH,1485,Ahmed Ali,Internal,2196.99,412.37,85.08,0.0,497.45,1699.54,2023,9,29,3,Friday
TR0424,2023-02-22,ABHA,HAIL,1305,Faisal Nasser,Internal,989.65,103.49,76.11,0.0,179.6,810.05,2023,2,22,1,Wednesday
TR0425,2023-08-22,YANBU,BURAIDAH,1321,Turki Salem,External,3752.49,632.96,105.17,560.7,1298.83,2453.66,2023,8,22,3,Tuesday
TR0426,2023-09-08,TAIF,MAKKAH,437,Saleh Ayed,External,643.44,78.78,50.89,20.38,150.05,493.39,2023,9,8,3,Friday
TR0427,2023-01-12,HAIL,BURAIDAH,446,Mohammed Saeed,External,5833.33,1045.41,247.98,560.28,1853.67,3979.66,2023,1,12,1,Thursday
TR0428,2023-10-01,HAIL,RIYADH,1316,Ahmed Ali,Internal,5401.76,550.84,331.59,0.0,882.43,4519.33,2023,10,1,4,Sunday
TR0429,2023-08-02,TABUK,ABHA,353,Turki Salem,External,4057.97,467.94,250.42,383.67,1102.03,2955.94,2023,8,2,3,Wednesday
TR0430,2023-06-04,ABHA,YANBU,306,Salem Rashed,External,5170.98,879.44,233.36,697.01,1809.81,3361.17,2023,6,4,2,Sunday
TR0431,2023-09-19,YANBU,HAIL,341,Faisal Nasser,Internal,6385.7,956.41,361.05,0.0,1317.46,5068.24,2023,9,19,3,Tuesday
TR0432,2023-05-15,BURAIDAH,MAKKAH,833,Majed Saud,External,2715.13,282.21,135.16,84.59,501.96,2213.17,2023,5,15,2,Monday
TR0433,2023-09-04,TAIF,MAKKAH,105,Ahmed Ali,Internal,7301.6,1340.01,439.13,0.0,1779.14,5522.46,2023,9,4,3,Monday
TR0434,2023-03-18,JEDDAH,HAIL,253,Majed Saud,Internal,7285.85,1198.04,345.39,0.0,1543.43,5742.42,2023,3,18,1,Saturday
TR0435,2023-06-01,MADINAH,BURAIDAH,202,Mohammed Saeed,Internal,7056.05,1306.96,293.62,0.0,1600.58,5455.47,2023,6,1,2,Thursday
TR0436,2023-12-13,TAIF,TABUK,337,Mohammed Saeed,Internal,572.54,65.18,33.68,0.0,98.86,473.68,2023,12,13,4,Wednesday
TR0437,2023-06-18,TAIF,BURAIDAH,1373,Faisal Nasser,Internal,3294.67,442.38,88.4,0.0,530.78,2763.89,2023,6,18,2,Sunday
TR0438,2023-07-24,TABUK,MADINAH,889,Majed Saud,External,6499.24,1071.62,440.74,110.22,1622.58,4876.66,2023,7,24,3,Monday
TR0439,2023-12-23,YANBU,RIYADH,426,Mohammed Saeed,External,7334.2,1087.42,397.05,482.04,1966.51,5367.69,2023,12,23,4,Saturday
TR0440,2023-11-09,ABHA,TAIF,1352,Ahmed Ali,Internal,4123.1,613.57,302.04,0.0,915.61,3207.49,2023,11,9,4,Thursday
TR0441,2023-08-14,RIYADH,DAMMAM,635,Salem Rashed,External,592.7,110.74,30.52,66.11,207.37,385.33,2023,8,14,3,Monday
TR0442,2023-10-17,MAKKAH,YANBU,792,Turki Salem,Internal,3746.36,646.87,183.26,0.0,830.13,2916.23,2023,10,17,4,Tuesday
TR0443,2023-12-06,JUBAIL,YANBU,888,Khalid Omar,Internal,587.34,113.61,29.56,0.0,143.17,444.17,2023,12,6,4,Wednesday
TR0444,2023-08-29,TABUK,DAMMAM,253,Rashed Hamad,External,2904.75,386.59,106.57,220.88,714.04,2190.71,2023,8,29,3,Tuesday
TR0445,2023-10-09,JUBAIL,ABHA,925,Hamad Saleh,Internal,1091.23,157.59,59.34,0.0,216.93,874.3,2023,10,9,4,Monday
TR0446,2023-02-15,TABUK,BURAIDAH,747,Mohammed Saeed,External,6089.29,619.75,269.19,32.73,921.67,5167.62,2023,2,15,1,Wednesday
TR0447,2023-10-09,RIYADH,DAMMAM,1337,Fahad Majed,External,7175.83,1121.1,425.35,491.05,2037.5,5138.33,2023,10,9,4,Monday
TR0448,2023-06-24,TAIF,RIYADH,556,Hamad Saleh,External,2989.79,528.42,167.42,321.4,1017.24,1972.55,2023,6,24,2,Saturday
TR0449,2023-07-06,YANBU,TABUK,333,Mohammed Saeed,Internal,516.48,69.99,29.97,0.0,99.96,416.52,2023,7,6,3,Thursday
TR0450,2023-05-30,BURAIDAH,HAIL,865,Majed Saud,Internal,843.34,98.18,23.97,0.0,122.15,721.19,2023,5,30,2,Tuesday
TR0451,2023-07-29,JEDDAH,TAIF,1351,Abdullah Hassan,Internal,1405.59,260.34,46.29,0.0,306.63,1098.96,2023,7,29,3,Saturday
TR0452,2023-04-08,YANBU,TAIF,320,Rashed Hamad,External,848.75,138.62,51.2,15.69,205.51,643.24,2023,4,8,2,Saturday
TR0453,2023-08-19,TABUK,YANBU,1306,Turki Salem,Internal,7728.91,776.24,495.99,0.0,1272.23,6456.68,2023,8,19,3,Saturday
TR0454,2023-10-11,ABHA,JUBAIL,1089,Saleh Ayed,Internal,5688.63,667.65,392.03,0.0,1059.68,4628.95,2023,10,11,4,Wednesday
TR0455,2023-02-23,ABHA,YANBU,1329,Fahad Majed,External,4280.83,592.75,337.2,588.13,1518.08,2762.75,2023,2,23,1,Thursday
TR0456,2023-05-08,MADINAH,TABUK,802,Faisal Nasser,External,6535.98,743.91,367.0,869.06,1979.97,4556.01,2023,5,8,2,Monday
TR0457,2023-09-20,MADINAH,HAIL,742,Majed Saud,Internal,2006.67,325.92,75.12,0.0,401.04,1605.63,2023,9,20,3,Wednesday
TR0458,2023-06-26,JUBAIL,DAMMAM,1431,Khalid Omar,External,5827.65,1026.12,313.16,509.46,1848.74,3978.91,2023,6,26,2,Monday
TR0459,2023-12-08,YANBU,ABHA,1480,Majed Saud,External,7081.08,1007.2,147.05,113.09,1267.34,5813.74,2023,12,8,4,Friday
TR0460,2023-07-15,DAMMAM,RIYADH,1472,Ahmed Ali,Internal,2502.34,446.8,197.71,0.0,644.51,1857.83,2023,7,15,3,Saturday
TR0461,2023-12-16,MADINAH,DAMMAM,227,Majed Saud,External,2030.01,312.86,84.29,137.82,534.97,1495.04,2023,12,16,4,Saturday
TR0462,2023-11-12,JUBAIL,BURAIDAH,559,Majed Saud,External,2281.97,407.17,155.01,98.46,660.64,1621.33,2023,11,12,4,Sunday
TR0463,2023-12-07,RIYADH,TABUK,893,Saeed Turki,External,7743.75,816.04,500.4,235.9,1552.34,6191.41,2023,12,7,4,Thursday
TR0464,2023-08-15,MAKKAH,YANBU,1426,Omar Khalid,Internal,6321.1,1241.65,237.99,0.0,1479.64,4841.46,2023,8,15,3,Tuesday
TR0465,2023-04-01,JUBAIL,JEDDAH,482,Khalid Omar,Internal,3328.99,475.55,177.75,0.0,653.3,2675.69,2023,4,1,2,Saturday
TR0466,2023-03-08,DAMMAM,JUBAIL,622,Ahmed Ali,External,3997.49,774.51,89.53,556.83,1420.87,2576.62,2023,3,8,1,Wednesday
TR0467,2023-11-02,RIYADH,YANBU,1360,Hamad Saleh,External,4179.13,657.24,173.37,491.49,1322.1,2857.03,2023,11,2,4,Thursday
TR0468,2023-06-12,BURAIDAH,MAKKAH,476,Turki Salem,Internal,6396.94,741.64,336.38,0.0,1078.02,5318.92,2023,6,12,2,Monday
TR0469,2023-07-26,JEDDAH,ABHA,553,Saleh Ayed,Internal,5475.01,728.76,205.94,0.0,934.7,4540.31,2023,7,26,3,Wednesday
TR0470,2023-11-13,BURAIDAH,TABUK,1249,Hamad Saleh,Internal,1360.41,183.11,46.83,0.0,229.94,1130.47,2023,11,13,4,Monday
TR0471,2023-11-25,HAIL,JUBAIL,599,Ahmed Ali,External,3360.29,603.58,90.06,129.33,822.97,2537.32,2023,11,25,4,Saturday
TR0472,2023-05-25,RIYADH,HAIL,867,Turki Salem,External,4151.04,538.15,245.29,199.44,982.88,3168.16,2023,5,25,2,Thursday
TR0473,2023-02-12,JEDDAH,MAKKAH,1201,Turki Salem,Internal,5202.0,629.85,300.52,0.0,930.37,4271.63,2023,2,12,1,Sunday
TR0474,2023-04-20,JUBAIL,ABHA,312,Abdullah Hassan,External,5349.21,1037.61,346.7,123.37,1507.68,3841.53,2023,4,20,2,Thursday
TR0475,2023-08-24,YANBU,TAIF,177,Mohammed Saeed,Internal,907.01,162.74,48.51,0.0,211.25,695.76,2023,8,24,3,Thursday
TR0476,2023-10-22,MAKKAH,TAIF,934,Saeed Turki,External,5226.63,748.99,109.83,527.86,1386.68,3839.95,2023,10,22,4,Sunday
TR0477,2023-10-01,RIYADH,YANBU,1366,Mohammed Saeed,Internal,5756.62,617.45,435.68,0.0,1053.13,4703.49,2023,10,1,4,Sunday
TR0478,2023-02-24,MADINAH,YANBU,717,Fahad Majed,Internal,2611.38,503.13,111.99,0.0,615.12,1996.26,2023,2,24,1,Friday
TR0479,2023-12-05,RIYADH,BURAIDAH,420,Turki Salem,Internal,1522.86,211.83,103.32,0.0,315.15,1207.71,2023,12,5,4,Tuesday
TR0480,2023-10-07,MADINAH,YANBU,395,Faisal Nasser,External,7680.44,776.61,556.72,162.87,1496.2,6184.24,2023,10,7,4,Saturday
TR0481,2023-01-22,RIYADH,JUBAIL,1321,Saeed Turki,Internal,2785.18,486.93,206.7,0.0,693.63,2091.55,2023,1,22,1,Sunday
TR0482,2023-06-26,MAKKAH,TABUK,1422,Hamad Saleh,Internal,1707.16,208.41,119.65,0.0,328.06,1379.1,2023,6,26,2,Monday
TR0483,2023-04-10,JEDDAH,MAKKAH,1474,Rashed Hamad,Internal,6885.41,1330.52,548.48,0.0,1879.0,5006.41,2023,4,10,2,Monday
TR0484,2023-08-25,JUBAIL,BURAIDAH,249,Faisal Nasser,Internal,2380.16,285.0,130.52,0.0,415.52,1964.64,2023,8,25,3,Friday
TR0485,2023-06-19,TAIF,DAMMAM,1474,Salem Rashed,Internal,1250.34,202.49,92.53,0.0,295.02,955.32,2023,6,19,2,Monday
TR0486,2023-06-12,TABUK,BURAIDAH,772,Fahad Majed,External,5700.94,656.97,307.92,690.7,1655.59,4045.35,2023,6,12,2,Monday
TR0487,2023-08-08,DAMMAM,RIYADH,741,Abdullah Hassan,Internal,5841.49,958.49,213.8,0.0,1172.29,4669.2,2023,8,8,3,Tuesday
TR0488,2023-07-04,DAMMAM,YANBU,779,Saleh Ayed,External,3971.36,539.61,152.22,328.63,1020.46,2950.9,2023,7,4,3,Tuesday
TR0489,2023-03-31,JUBAIL,HAIL,267,Hamad Saleh,External,6940.35,791.2,363.1,274.04,1428.34,5512.01,2023,3,31,1,Friday
TR0490,2023-11-17,JEDDAH,DAMMAM,138,Hamad Saleh,Internal,6594.82,1041.26,436.26,0.0,1477.52,5117.3,2023,11,17,4,Friday
TR0491,2023-04-19,RIYADH,HAIL,633,Turki Salem,External,5404.31,620.76,235.36,722.64,1578.76,3825.55,2023,4,19,2,Wednesday
TR0492,2023-10-29,YANBU,MADINAH,374,Nasser Fahad,Internal,3475.89,522.14,207.72,0.0,729.86,2746.03,2023,10,29,4,Sunday
TR0493,2023-11-11,JUBAIL,DAMMAM,1152,Khalid Omar,External,1694.17,265.37,91.4,221.65,578.42,1115.75,2023,11,11,4,Saturday
TR0494,2023-03-16,YANBU,TABUK,834,Ahmed Ali,Internal,6211.04,765.04,222.74,0.0,987.78,5223.26,2023,3,16,1,Thursday
TR0495,2023-04-30,RIYADH,YANBU,523,Turki Salem,External,3410.7,654.14,248.62,20.42,923.18,2487.52,2023,4,30,2,Sunday
TR0496,2023-11-29,TAIF,JEDDAH,1167,Salem Rashed,External,6761.54,854.2,356.07,176.32,1386.59,5374.95,2023,11,29,4,Wednesday
TR0497,2023-12-01,ABHA,TAIF,1303,Salem Rashed,Internal,4374.97,602.14,325.65,0.0,927.79,3447.18,2023,12,1,4,Friday
TR0498,2023-09-22,ABHA,TAIF,806,Nasser Fahad,External,7153.79,720.1,521.67,472.04,1713.81,5439.98,2023,9,22,3,Friday
TR0499,2023-04-28,JEDDAH,HAIL,1417,Faisal Nasser,Internal,1626.8,188.28,91.3,0.0,279.58,1347.22,2023,4,28,2,Friday
TR0500,2023-03-02,JUBAIL,MAKKAH,949,Rashed Hamad,External,5901.92,874.38,287.59,186.53,1348.5,4553.42,2023,3,2,1,Thursday
TR0501,2023-03-24,JUBAIL,ABHA,145,Abdullah Hassan,Internal,1459.14,232.35,40.98,0.0,273.33,1185.81,2023,3,24,1,Friday
TR0502,2023-09-20,RIYADH,JUBAIL,400,Ahmed Ali,Internal,2436.95,287.57,188.85,0.0,476.42,1960.53,2023,9,20,3,Wednesday
TR0503,2023-11-03,HAIL,YANBU,138,Saleh Ayed,External,7604.4,925.15,428.82,537.72,1891.69,5712.71,2023,11,3,4,Friday
TR0504,2023-09-04,DAMMAM,MADINAH,941,Fahad Majed,Internal,6459.62,1175.94,199.69,0.0,1375.63,5083.99,2023,9,4,3,Monday
TR0505,2023-12-04,BURAIDAH,MADINAH,443,Majed Saud,External,7417.64,1184.25,178.99,420.82,1784.06,5633.58,2023,12,4,4,Monday
TR0506,2023-03-09,JEDDAH,RIYADH,514,Turki Salem,External,6698.86,1075.51,205.29,905.96,2186.76,4512.1,2023,3,9,1,Thursday
TR0507,2023-11-04,RIYADH,HAIL,1130,Rashed Hamad,Internal,1198.92,198.95,88.86,0.0,287.81,911.11,2023,11,4,4,Saturday
TR0508,2023-10-04,RIYADH,YANBU,1429,Saeed Turki,External,3277.83,342.02,169.76,112.83,624.61,2653.22,2023,10,4,4,Wednesday
TR0509,2023-09-04,ABHA,TAIF,1306,Rashed Hamad,Internal,3691.17,463.06,243.44,0.0,706.5,2984.67,2023,9,4,3,Monday
TR0510,2023-02-12,MADINAH,JUBAIL,1213,Saeed Turki,External,1917.66,327.76,129.18,166.26,623.2,1294.46,2023,2,12,1,Sunday
TR0511,2023-03-02,BURAIDAH,RIYADH,868,Salem Rashed,Internal,5658.25,744.57,236.15,0.0,980.72,4677.53,2023,3,2,1,Thursday
TR0512,2023-03-21,ABHA,YANBU,1298,Faisal Nasser,External,6912.33,984.01,289.89,285.71,1559.61,5352.72,2023,3,21,1,Tuesday
TR0513,2023-12-15,ABHA,MAKKAH,946,Turki Salem,External,1840.4,286.94,90.23,272.89,650.06,1190.34,2023,12,15,4,Friday
TR0514,2023-10-23,TAIF,TABUK,382,Hamad Saleh,Internal,6108.61,883.67,378.48,0.0,1262.15,4846.46,2023,10,23,4,Monday
TR0515,2023-03-24,JEDDAH,MADINAH,1141,Saeed Turki,External,6506.4,1050.15,397.37,50.8,1498.32,5008.08,2023,3,24,1,Friday
TR0516,2023-07-19,JUBAIL,RIYADH,286,Hamad Saleh,Internal,4037.51,646.1,102.1,0.0,748.2,3289.31,2023,7,19,3,Wednesday
TR0517,2023-05-15,MAKKAH,ABHA,263,Fahad Majed,Internal,5933.71,1145.61,261.31,0.0,1406.92,4526.79,2023,5,15,2,Monday
TR0518,2023-12-02,BURAIDAH,MADINAH,1323,Ahmed Ali,Internal,5302.18,762.97,170.21,0.0,933.18,4369.0,2023,12,2,4,Saturday
TR0519,2023-12-03,BURAIDAH,MADINAH,498,Ahmed Ali,Internal,5113.92,856.08,212.66,0.0,1068.74,4045.18,2023,12,3,4,Sunday
TR0520,2023-12-02,RIYADH,MAKKAH,277,Faisal Nasser,External,3148.46,439.26,173.68,244.51,857.45,2291.01,2023,12,2,4,Saturday
TR0521,2023-12-27,JEDDAH,DAMMAM,1225,Faisal Nasser,External,3106.06,563.91,104.29,448.7,1116.9,1989.16,2023,12,27,4,Wednesday
TR0522,2023-08-21,ABHA,JUBAIL,109,Faisal Nasser,Internal,3553.51,393.18,86.5,0.0,479.68,3073.83,2023,8,21,3,Monday
TR0523,2023-05-31,TAIF,JEDDAH,1151,Faisal Nasser,External,5706.44,1121.92,306.95,659.07,2087.94,3618.5,2023,5,31,2,Wednesday
TR0524,2023-06-23,TABUK,YANBU,1043,Saleh Ayed,Internal,4114.78,517.57,176.77,0.0,694.34,3420.44,2023,6,23,2,Friday
TR0525,2023-04-23,JUBAIL,MAKKAH,746,Saeed Turki,External,4373.78,441.63,305.86,162.87,910.36,3463.42,2023,4,23,2,Sunday
TR0526,2023-02-17,ABHA,YANBU,800,Mohammed Saeed,Internal,4074.17,551.45,300.1,0.0,851.55,3222.62,2023,2,17,1,Friday
TR0527,2023-05-18,DAMMAM,YANBU,489,Nasser Fahad,Internal,2261.46,280.89,81.24,0.0,362.13,1899.33,2023,5,18,2,Thursday
TR0528,2023-04-28,MAKKAH,MADINAH,1366,Omar Khalid,Internal,6342.04,710.23,156.71,0.0,866.94,5475.1,2023,4,28,2,Friday
